species,accession,target,q_family,s_family,true_rogue,note
Abacopteris_gymnopteridifrons,JF303974,rbcL,Thelypteridaceae,Athyriaceae,TRUE,NA
Angiopteris_evecta,AY344778,trnL-trnF,Marattiaceae,Ophioglossaceae,TRUE,NA
Ascogrammitis_anfractuosa,MH159215,rbcL,Polypodiaceae,Dryopteridaceae,TRUE,NA
Asplenium_wrightii,EU161480,matK,Aspleniaceae,Marattiaceae,TRUE,NA
Athyrium_filix-femina,MG215453,rbcL,Athyriaceae,Dennstaedtiaceae,TRUE,NA
Athyrium_yokoscense,JN168078,rps4,Athyriaceae,Thelypteridaceae,TRUE,NA
Athyrium_yokoscense,JN168078,rps4-trnS,Athyriaceae,Thelypteridaceae,TRUE,NA
Blechnopsis_orientalis,AB889435,trnL-trnF,Blechnaceae,Pteridaceae,TRUE,NA
Bolbitis_heteroclita,AY818679,rbcL,Dryopteridaceae,Polypodiaceae,TRUE,NA
Christella_parasitica,MK690402,matK,Thelypteridaceae,Pteridaceae,TRUE,NA
Christella_parasitica,GQ436375,rbcL,Thelypteridaceae,Aspleniaceae,TRUE,NA
Cyclodium_trianae,DQ508765,rbcL,Dryopteridaceae,Hymenophyllaceae,TRUE,NA
Cyclodium_trianae,KJ628953,rps4,Dryopteridaceae,Polypodiaceae,TRUE,NA
Cyclodium_trianae,KJ628953,rps4-trnS,Dryopteridaceae,Polypodiaceae,TRUE,NA
Cyclopeltis_crenata,JF303954,matK,Lomariopsidaceae,Hypodematiaceae,TRUE,NA
Cystopteris_laurentiana,MK525656,rbcL,Cystopteridaceae,Athyriaceae,TRUE,NA
Cystopteris_pellucida,JN168085,rps4,Cystopteridaceae,Blechnaceae,TRUE,NA
Cystopteris_pellucida,JN168085,rps4-trnS,Cystopteridaceae,Blechnaceae,TRUE,NA
Davallia_canariensis,KF601949,atpA,Davalliaceae,Ophioglossaceae,TRUE,NA
Davallia_epiphylla,MT657534,rbcL,Davalliaceae,Dryopteridaceae,TRUE,NA
Davallia_hymenophylloides,AY096195,rbcL,Davalliaceae,Hypodematiaceae,TRUE,NA
Dennstaedtia_glabrata,MH826780,rbcL,Dennstaedtiaceae,Dryopteridaceae,TRUE,NA
Dennstaedtia_punctilobula,MF349755,rbcL,Dennstaedtiaceae,Athyriaceae,TRUE,NA
Diplaziopsis_cavaleriana,AF515251,trnL-trnF,Diplaziopsidaceae,Athyriaceae,TRUE,NA
Diplaziopsis_javanica,HQ380219,rps4,Diplaziopsidaceae,Cystopteridaceae,TRUE,NA
Diplaziopsis_javanica,HQ380219,rps4-trnS,Diplaziopsidaceae,Cystopteridaceae,TRUE,NA
Dipteris_conjugata,EF588801,trnL-trnF,Dipteridaceae,Gleicheniaceae,TRUE,NA
Dryopteris_expansa,MG215008,rbcL,Dryopteridaceae,Cystopteridaceae,TRUE,NA
Dryopteris_integriloba,KJ196564,matK,Dryopteridaceae,Tectariaceae,TRUE,NA
Dryopteris_xanthomelas,AY268876,rbcL,Dryopteridaceae,Cystopteridaceae,TRUE,NA
Dryopteris_xanthomelas,AY268811,trnL-trnF,Dryopteridaceae,Cystopteridaceae,TRUE,NA
Ephemeropteris_skinneri,MK055829,rbcL,Athyriaceae,Polypodiaceae,TRUE,NA
